d10,848.93,Acrivastine and Pseudoephedrine Hydrochloride Capsules,3348,"Endo Pharmaceuticals, Inc.","Semprex-D Capsules, 8 mg/ 60mg , 100 capsules, (NDC 52244-404-10)"
d100,309.61,Atropine Sulfate Injection,9036,"Fresenius Kabi USA, LLC",8 mg per 20 mL (0.4 mg per mL); MDV; (NDC 63323-580-20)
d1000,905.04,Iopamidol (Isovue) Injection,3083,Bracco Diagnostics,"Iopamidol Injection 51% (IsoVue 250),  10x50mL bottle, (NDC 0270-1317-05)"
d1001,813.66,Iopamidol (Isovue) Injection,1886,Bracco Diagnostics,"Iopamidol Injection 51% (IsoVue 250 PBP),  10x200mL bottle, (NDC 0270-1317-41)"
d1002,64.1,Iopamidol (Isovue) Injection,1641,Bracco Diagnostics,"Iopamidol Injection 61% (IsoVue 300), 10x75mL bottle, (NDC 0270-1315-47)"
d1003,113.41,Iopamidol (Isovue) Injection,5328,Bracco Diagnostics,"Iopamidol Injection 61% (IsoVue 300 PBP), 6x500mL bottle, (NDC 0270-1315-98)"
d1004,164.48,Iopamidol (Isovue) Injection,361,Bracco Diagnostics,"Iopamidol Injection 61% (IsoVue 300 PBP), 10x200mL bottle, (NDC 0270-1315-41)"
d1005,509.14,Iopamidol (Isovue) Injection,7593,Bracco Diagnostics,"Iopamidol Injection 76% (IsoVue 370 PBP), 6x500mL bottle, (NDC 0270-1316-98)"
d1006,107.25,Iopamidol (Isovue) Injection,2057,Bracco Diagnostics,"Iopamidol Injection 76% (IsoVue 370 PBP), 10x200mL bottle, (NDC 0270-1316-41)"
d1007,433.27,Ipratropium Bromide Inhalation Solution,6201,Teva Pharmaceuticals,"0.5 mg/2.5 mL  (NDCs 0591-3798-30, 0591-3798-60, and 0591-3798-83)"
d1008,686.92,Isoniazid Injection,413,Sandoz,10 mL (100 mg/mL) Multiple dose vial (NDC 0781-3056-70)
d1009,680.79,Isoniazid Tablets,4815,Teva Pharmaceuticals,300 mg 1000 count (NDC 0555-0071-05)
d101,724.59,Atropine Sulfate Injection,7102,"Amphastar Pharmaceuticals, Inc./IMS",0.1 mg/mL; 10 mL Luer-Jet Prefilled Syringe (NDC 76329-3340-1)
d1010,414.05,Ketamine Injection,4189,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","100 mg/mL, 5 mL vial (NDC 0143-9509-10)"
d1011,769.2,Ketamine Injection,7776,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","50 mg/mL, 10 mL vial (NDC 0143-9508-10)"
d1012,737.85,Ketamine Injection,120,Par Pharmaceutical,"10 mg/mL, 20 mL MDV (NDC 42023-113-10)"
d1013,428.9,Ketamine Injection,3138,Par Pharmaceutical,"100 mg/mL, 5 mL MDV (NDC 42023-115-10)"
d1014,167.72,Ketamine Injection,6297,Par Pharmaceutical,"50 mg/mL, 10 mL MDV (NDC 42023-114-10)"
d1015,607.47,Ketamine Injection,2871,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),200 mg / 20 mL (NDC 67457-181-20)
d1016,804.37,Ketamine Injection,4836,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),500 mg / 10 mL (NDC 67457-001-10)
